id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
53,KQW,贵阳北,guiyangbei,gyb,1803,贵阳,cn,中国,106.674554,26.619478,amap,2026-04-09 05:57:42.412956+00:00,2026-04-08 08:39:59.312461+00:00,2026-04-09 05:57:42.412956+00:00
54,KEW,贵阳东,guiyangdong,gyd,1803,贵阳,cn,中国,106.744611,26.664717,amap,2026-04-09 05:57:43.427925+00:00,2026-04-08 08:39:59.312739+00:00,2026-04-09 05:57:43.427925+00:00
55,GBQ,广州北,guangzhoubei,gzb,1502,广州,cn,中国,113.203846,23.377273,amap,2026-04-09 05:57:44.438258+00:00,2026-04-08 08:39:59.313009+00:00,2026-04-09 05:57:44.438258+00:00
56,GGQ,广州东,guangzhoudong,gzd,1502,广州,cn,中国,113.324964,23.150588,amap,2026-04-09 05:57:45.435026+00:00,2026-04-08 08:39:59.313292+00:00,2026-04-09 05:57:45.435026+00:00
57,GZQ,广州,guangzhou,gz,1502,广州,cn,中国,113.257331,23.149243,amap,2026-04-09 05:57:46.435803+00:00,2026-04-08 08:39:59.313552+00:00,2026-04-09 05:57:46.435803+00:00
58,IZQ,广州南,guangzhounan,gzn,1502,广州,cn,中国,113.269815,22.988773,amap,2026-04-09 05:57:47.444648+00:00,2026-04-08 08:39:59.313817+00:00,2026-04-09 05:57:47.444648+00:00
59,XWQ,广州新塘,guangzhouxintang,gzxt,1502,广州,cn,中国,113.606262,23.134057,amap,2026-04-09 05:57:48.481926+00:00,2026-04-08 08:39:59.314103+00:00,2026-04-09 05:57:48.481926+00:00
60,GXQ,广州西,guangzhouxi,gzx,1502,广州,cn,中国,113.264499,23.130061,amap,2026-04-09 05:57:49.460163+00:00,2026-04-08 08:39:59.314380+00:00,2026-04-09 05:57:49.460163+00:00
61,GBA,广州白云,guangzhoubaiyun,gzby,1502,广州,cn,中国,113.246341,23.19091,amap,2026-04-09 05:57:50.478377+00:00,2026-04-08 08:39:59.314636+00:00,2026-04-09 05:57:50.478377+00:00
62,HTB,哈尔滨北,haerbinbei,hebb,0034,哈尔滨,cn,中国,126.535657,45.850243,amap,2026-04-09 05:57:51.475707+00:00,2026-04-08 08:39:59.314898+00:00,2026-04-09 05:57:51.475707+00:00
63,HBB,哈尔滨,haerbin,heb,0034,哈尔滨,cn,中国,126.63269,45.761621,amap,2026-04-09 05:57:52.495946+00:00,2026-04-08 08:39:59.315159+00:00,2026-04-09 05:57:52.495946+00:00
64,VBB,哈尔滨东,haerbindong,hebd,0034,哈尔滨,cn,中国,126.711692,45.788009,amap,2026-04-09 05:57:53.525154+00:00,2026-04-08 08:39:59.315425+00:00,2026-04-09 05:57:53.525154+00:00
65,VAB,哈尔滨西,haerbinxi,hebx,0034,哈尔滨,cn,中国,126.577304,45.707228,amap,2026-04-09 05:57:54.511286+00:00,2026-04-08 08:39:59.315668+00:00,2026-04-09 05:57:54.511286+00:00
66,COH,合肥北城,hefeibeicheng,hfbc,0809,合肥,cn,中国,117.252569,32.063335,amap,2026-04-09 05:57:55.504802+00:00,2026-04-08 08:39:59.315923+00:00,2026-04-09 05:57:55.504802+00:00
67,HFH,合肥,hefei,hf,0809,合肥,cn,中国,117.316937,31.885135,amap,2026-04-09 05:57:56.518898+00:00,2026-04-08 08:39:59.316186+00:00,2026-04-09 05:57:56.518898+00:00
68,ENH,合肥南,hefeinan,hfn,0809,合肥,cn,中国,117.290051,31.800004,amap,2026-04-09 05:57:57.518422+00:00,2026-04-08 08:39:59.316566+00:00,2026-04-09 05:57:57.518422+00:00
69,HFU,合肥西,hefeixi,hfx,0809,合肥,cn,中国,117.236115,31.870254,amap,2026-04-09 05:57:58.530180+00:00,2026-04-08 08:39:59.316906+00:00,2026-04-09 05:57:58.530180+00:00
70,HTT,皇姑屯,huanggutun,hgt,0205,沈阳,cn,中国,123.386576,41.821049,amap,2026-04-09 05:57:59.538250+00:00,2026-04-08 08:39:59.317281+00:00,2026-04-09 05:57:59.538250+00:00
71,NDC,呼和浩特东,huhehaotedong,hhhtd,0511,呼和浩特,cn,中国,111.765256,40.851074,amap,2026-04-09 05:58:00.550287+00:00,2026-04-08 08:39:59.317624+00:00,2026-04-09 05:58:00.550287+00:00
72,HHC,呼和浩特,huhehaote,hhht,0511,呼和浩特,cn,中国,111.66548,40.831275,amap,2026-04-09 05:58:01.546657+00:00,2026-04-08 08:39:59.317954+00:00,2026-04-09 05:58:01.546657+00:00
73,HMQ,海口东,haikoudong,hkd,2501,海口,cn,中国,110.342865,19.983409,amap,2026-04-09 05:58:02.555898+00:00,2026-04-08 08:39:59.318256+00:00,2026-04-09 05:58:02.555898+00:00
